Class	Order	sampling
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	PF
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Araneae	Frog
Arachnida	Ixodida	PF
Arachnida	Ixodida	PF
Arachnida	Opiliones	PF
Arachnida	Opiliones	PF
Arachnida	Opiliones	PF
Chordata	Vertebrata	Frog
Chordata	Vertebrata	Frog
Chordata	Vertebrata	Frog
Chordata	Vertebrata	Frog
Citellata	Citellata	PF
Clitellata	Clitellata	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Gastropoda	DN
Gastropoda	Pulmonata	PF
Gastropoda	Pulmonata	PF
Gastropoda	Pulmonata	PF
Gastropoda	Pulmonata	PF
Gastropoda	Pulmonata	PF
Gastropoda	Pulmonata	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
