Site 	Distance 	E1	E2	E3	E5	E6	E7	E8	E9	E10	E12	E13	E14	E15	E16	P1	P3	P4	P5	P6	P7	P8	P9	P10	S4	S9	N5	N6
SC	0 m	7	6	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC	125 m	0	2	3	1	0	0	0	0	0	0	0	0	0	0	27	2	2	1	0	0	0	0	0	1	0	0	0
SC	250 m	0	2	1	3	1	0	0	0	0	0	0	0	0	0	7	11	3	0	3	7	4	0	0	0	0	0	0
SC	375 m	2	3	1	0	4	2	0	0	0	0	0	0	0	0	1	2	1	0	1	4	2	0	0	0	0	0	0
SC	500 m	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	1	0	0	0	0	0	0	0
BRA	0 m	2	34	0	2	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
BRA	125 m	0	2	1	2	0	1	0	1	1	0	0	0	0	0	4	0	0	0	1	0	1	1	0	0	0	0	0
BRA	250 m	0	0	0	0	2	1	0	0	0	0	0	0	0	0	9	0	1	9	1	9	6	0	2	0	0	0	0
BRA	375 m	0	0	2	0	0	0	0	0	0	1	0	0	0	0	15	0	7	5	4	20	30	1	11	0	1	0	0
BRA	500 m	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	18	1	0	1	0	1	2	3
BRC	0 m	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0
BRC	125 m	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BRC	250 m	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0
BRC	375 m	0	0	0	1	0	0	0	0	0	0	1	1	1	5	3	0	0	0	0	1	1	0	0	0	0	2	0
BRC	500 m	0	0	1	1	0	0	0	0	0	0	0	0	0	4	1	5	0	0	1	2	0	0	0	0	0	0	0
