Site	replicate	Acidobacteria;Acidobacteriia	Acidobacteria;Blastocatellia (Subgroup 4)	Acidobacteria;Holophagae	Acidobacteria;Subgroup 6	Actinobacteria;Acidimicrobiia	Actinobacteria;Actinobacteria	Actinobacteria;Coriobacteriia	Actinobacteria;Thermoleophilia	Actinobacteria;unid	Armatimonadetes;Armatimonadia	Bacteroidetes;Bacteroidia	Bacteroidetes;Ignavibacteria	Bacteroidetes;Rhodothermia	Chlamydiae;Chlamydiae	Chloroflexi;Anaerolineae	Chloroflexi;Chloroflexia	Chloroflexi;Dehalococcoidia	Chloroflexi;KD4-96	Chloroflexi;SL56 marine group	Cloacimonetes;Cloacimonadia	Cyanobacteria;Melainabacteria	Cyanobacteria;Oxyphotobacteria	Deinococcus-Thermus;Deinococci	Dependentiae;Babeliae	Elusimicrobia;Endomicrobia	Epsilonbacteraeota;Campylobacteria	Fibrobacteres;Fibrobacteria	Firmicutes;Bacilli	Firmicutes;Clostridia	Firmicutes;Erysipelotrichia	Firmicutes;Negativicutes	Fusobacteria;Fusobacteriia	Gemmatimonadetes;Gemmatimonadetes	Kiritimatiellaeota;Kiritimatiellae	Lentisphaerae;Lentisphaeria	Lentisphaerae;Oligosphaeria	Nitrospinae;P9X2b3D02	Omnitrophicaeota;Omnitrophia	Patescibacteria;ABY1	Patescibacteria;Berkelbacteria	Patescibacteria;Gracilibacteria	Patescibacteria;Parcubacteria	Patescibacteria;Saccharimonadia	Planctomycetes;Phycisphaerae	Planctomycetes;Planctomycetacia	Planctomycetes;vadinHA49	Proteobacteria;Alphaproteobacteria	Proteobacteria;Deltaproteobacteria	Proteobacteria;Gammaproteobacteria	Proteobacteria;unid	Spirochaetes;Leptospirae	Spirochaetes;Spirochaetia	Verrucomicrobia;Verrucomicrobiae	WPS-2;uncultured rumen bacterium	Bacteria	Unassigned	SUM
CM	01	0	47	0	0	38	2291	0	0	0	68	1863	0	0	47	0	64	0	0	0	0	0	1480	0	5	0	71	0	1	80	0	1	24	6	0	11	0	0	23	9	0	0	135	0	0	142	0	682	118	2752	1	0	8	166	2	11	0	10146
CM	02	0	30	0	0	7	2255	0	0	0	0	358	0	0	8	0	67	0	0	0	0	16	1608	0	0	0	5	0	6	124	0	9	0	0	0	10	0	0	18	0	0	0	42	0	0	198	0	294	5	2066	0	0	10	33	0	0	0	7169
CM	03	0	0	8	0	206	1910	6	25	0	5	2149	69	0	0	0	0	0	0	7	0	4	2141	0	0	0	161	0	0	62	0	9	37	0	0	0	0	0	0	0	0	4	0	0	0	184	0	648	100	2355	0	53	5	293	0	1	0	10442
CM	04	0	18	0	0	35	2186	11	12	0	0	1292	13	0	0	5	233	0	0	8	0	0	3286	0	4	0	97	0	4	160	8	40	42	10	0	0	0	0	0	0	0	0	358	0	22	229	5	709	26	2130	0	48	0	347	0	6	0	11344
EM	01	0	8	0	0	67	1150	0	0	0	26	1254	0	0	1	6	61	0	0	0	0	0	552	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	22	0	0	12	0	598	10	1910	0	12	0	693	0	4	0	6424
EM	02	0	0	0	0	0	1450	0	0	0	0	1884	0	0	0	6	0	0	0	0	0	0	928	0	0	0	31	0	0	41	0	0	94	0	0	0	0	0	0	0	0	35	59	0	0	48	0	370	9	995	0	106	0	242	0	4	0	6302
EM	03	4	12	0	0	57	1445	18	0	0	11	2599	3	0	2	0	202	0	0	0	0	0	1013	0	4	0	50	0	0	188	16	45	29	0	0	0	0	0	0	0	0	0	12	0	0	1873	0	810	22	1496	0	0	0	359	0	0	3	10273
EM	04	0	0	0	0	9	2626	5	0	0	0	204	0	0	28	0	135	0	0	0	0	25	1739	0	27	0	8	0	78	133	0	99	8	0	0	0	0	0	9	0	0	0	57	76	0	5812	0	103	14	1844	5	0	0	67	0	0	112	13223
FM	01	13	43	0	17	825	1422	13	223	3	13	1613	170	15	13	102	47	0	60	6	1	0	1863	23	0	0	20	6	112	36	94	43	30	50	17	0	7	10	12	24	3	2	123	58	18	2158	0	473	271	1556	0	16	7	714	0	53	0	12398
FM	02	0	0	0	0	286	1874	0	96	0	0	693	66	0	0	0	0	0	0	63	0	0	2992	0	0	0	0	0	18	95	34	0	0	0	0	0	0	0	0	5	0	0	64	0	25	1410	0	89	81	573	0	0	0	225	0	16	2	8707
FM	03	0	10	6	0	46	1800	0	0	0	0	3607	0	0	10	0	20	2	0	0	0	0	955	0	2	0	23	0	53	57	7	9	7	0	4	0	0	0	0	0	0	0	40	0	0	178	0	486	38	1612	0	0	0	268	0	7	4	9251
FM	04	0	0	0	0	143	765	12	18	0	0	1786	130	3	0	5	0	0	0	5	0	0	4342	0	0	2	35	5	12	145	22	69	18	0	0	0	0	0	0	0	0	0	0	0	52	229	0	556	104	1664	0	67	0	418	0	4	0	10611
