"Record Number","Scientific Name","Observation Date","Verified Date","Specimen Type","Organism Type","Status","Region(s)","Lat/Long","Longitude","Precision","Location Notes","Observation Notes","Submitter","Data Source","Partner Project","Updated Date"
"483271","Hypena scabra","04/08/2010","06/21/2010","Photograph","moth","Unknown","Northampton CountyPennsylvaniaUnited States","40.774929","-75.294571","county record","Pen Argyl","","legacy.reporter (53)","Stephen Kloiber","","09/01/2010 18:52:11"
"483649","Hypena scabra","05/29/2010","06/21/2010","Photograph","moth","Unknown","Armstrong CountyPennsylvaniaUnited States","40.879051","-79.47039","county record","Crooked Creek Lake","","curtis.lehman (46)","Curt Lehman","","09/01/2010 18:56:37"
"484714","Hypena scabra","01/20/2010","08/02/2010","Photograph","moth","Unknown","Monroe CountyGeorgiaUnited States","32.974686","-83.889709","county record","Forsyth","","legacy.reporter (53)","Terry Johnson","","09/01/2010 19:07:31"
"484848","Hypena scabra","06/23/2010","08/02/2010","Photograph","moth","Unknown","Monroe CountyPennsylvaniaUnited States","41.045837","-75.24791","county record","Saylorsburg","","legacy.reporter (53)","Stephen Kloiber","","09/01/2010 19:08:56"
"485070","Hypena scabra","04/05/2010","08/03/2010","Photograph","moth","Unknown","Greene CountyMissouriUnited States","37.169998","-93.360001","point record","Springfield","","legacy.reporter (53)","Kevin Firth","","09/01/2010 19:11:15"
"485851","Hypena scabra","07/12/2010","08/03/2010","Photograph","moth","Unknown","Greene CountyPennsylvaniaUnited States","39.811302","-80.187508","county record","Dunkard","","curtis.lehman (46)","Curt Lehman","","09/01/2010 19:19:37"
"504360","Hypena scabra","08/17/2010","09/21/2010","Photograph","moth","Unknown","United StatesMissouriCrawford County","37.79639","-91.42944","point record","U of MO, Wurdack farm","","kent (69)","Kent Fothergill","","03/19/2011 11:02:39"
"504443","Hypena scabra","09/22/2010","09/21/2010","Photograph","moth","Unknown","United StatesMissouriLincoln County","39","-91.17","point record","Hawk Point, 2 mi. N & 3 mi. W of","","legacy.reporter (53)","Pat Garner","","01/10/2011 14:39:57"
"504468","Hypena scabra","08/06/2010","09/21/2010","Photograph","moth","Unknown","United StatesWest VirginiaGrant County","39.264391","-79.13362","point record","Scherr","","curtis.lehman (46)","Curt Lehman","","01/10/2011 15:06:40"
"505569","Hypena scabra","08/14/2010","12/31/2010","Photograph","moth","Unknown","United StatesMinnesotaCarver County","44.825431","-93.7841503","county record","Chanhassen","","legacy.reporter (53)","Cathy Bujold","","01/12/2011 17:09:18"
