id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
28477,2011-08-17,2011-08-17,,Central Time (US & Canada),,2203,jawinget,2011-08-19 03:41:18 UTC,2018-09-04 00:09:42 UTC,research,,http://www.inaturalist.org/observations/28477,https://static.inaturalist.org/photos/50548/medium.JPG,,"","",false,1,0,false,,"6207 Brian Lane Waterloo, IL",38.3044039543,-90.2522027493,,,,false,,,Hypena scabra,Hypena scabra,Green Cloverworm Moth,Insecta,118513
29155,2011-08-27,2011-08-27,,Central Time (US & Canada),,2203,jawinget,2011-08-27 08:17:39 UTC,2018-09-04 00:10:09 UTC,research,,http://www.inaturalist.org/observations/29155,https://static.inaturalist.org/photos/51330/medium.JPG,,"","",false,1,0,false,,"6207 Brian Lane Waterloo, IL",38.304461626,-90.2521920204,,,,false,,,Hypena scabra,Hypena scabra,Green Cloverworm Moth,Insecta,118513
106158,2012-07-25,2012-07-25,,Eastern Time (US & Canada),,5245,kent_miller,2012-07-27 01:52:24 UTC,2017-06-23 12:30:58 UTC,research,CC-BY,http://www.inaturalist.org/observations/106158,https://static.inaturalist.org/photos/152665/medium.JPG,,"","",false,1,0,false,,"Hartville, OH",40.9636685,-81.3312195,3281,,,false,,,Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
106162,2012-07-25,2012-07-25,,Eastern Time (US & Canada),,5245,kent_miller,2012-07-27 02:00:34 UTC,2016-10-23 19:01:11 UTC,research,CC-BY,http://www.inaturalist.org/observations/106162,https://static.inaturalist.org/photos/152669/medium.JPG,,"","",false,1,0,false,,"Hartville, OH",40.9636685,-81.3312195,3281,,,false,,,Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
110060,2012-08-05,2012-08-05,,Eastern Time (US & Canada),,5245,kent_miller,2012-08-07 15:09:20 UTC,2017-08-30 12:35:07 UTC,research,CC-BY,http://www.inaturalist.org/observations/110060,https://static.inaturalist.org/photos/157246/medium.JPG,,"","",false,1,0,false,,"Hartville, OH",40.9636685,-81.3312195,3281,,,false,,,Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
110062,2012-08-02,2012-08-02,,Eastern Time (US & Canada),,5245,kent_miller,2012-08-07 15:28:18 UTC,2015-01-05 21:29:25 UTC,research,CC-BY,http://www.inaturalist.org/observations/110062,https://static.inaturalist.org/photos/157248/medium.JPG,,"","",false,1,0,false,,Camp Luz,40.7937356117,-81.7396124037,,,,false,,,Green Cloverworm Moth (Hypena scabra),Hypena scabra,Green Cloverworm Moth,Insecta,118513
110287,2012-08-07,2012-08-07,,Eastern Time (US & Canada),,5245,kent_miller,2012-08-08 12:50:16 UTC,2015-11-14 21:02:07 UTC,research,CC-BY,http://www.inaturalist.org/observations/110287,https://static.inaturalist.org/photos/157528/medium.JPG,,"","",false,1,0,false,,"Hartville, OH",40.9636685,-81.3312195,3281,,,false,,,Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
111562,2012-08-08,2012-08-08,,Eastern Time (US & Canada),,4860,rcurtis,2012-08-11 14:55:31 UTC,2018-11-29 12:19:38 UTC,research,CC-BY,http://www.inaturalist.org/observations/111562,https://static.inaturalist.org/photos/159102/medium.JPG,,"","",false,1,0,false,,Tallmadge,41.101445,-81.441779,1,,,false,,manual,Green Cloverworm Moth (Hypena scabra),Hypena scabra,Green Cloverworm Moth,Insecta,118513
112249,Sun Aug 12 2012 17:25:30 GMT-0400 (EDT),2012-08-12,2012-08-12 21:25:30 UTC,Eastern Time (US & Canada),,6136,lward,2012-08-13 01:18:22 UTC,2016-05-09 17:44:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/112249,https://static.inaturalist.org/photos/160028/medium.jpg,,"",About an inch in length,false,1,0,false,,"Headlands Beach State Park, Painesville, Ohio, US",41.7578333333,-81.2866666667,,,,false,,,Green Cloverworm Moth (Hypena scabra),Hypena scabra,Green Cloverworm Moth,Insecta,118513
121635,2012-09-11,2012-09-11,,Eastern Time (US & Canada),,8669,smpbiologist-rcurtis,2012-09-11 19:34:44 UTC,2016-05-17 22:14:25 UTC,research,CC-BY,http://www.inaturalist.org/observations/121635,https://static.inaturalist.org/photos/173534/medium.JPG,,"","",false,2,0,false,,"Riding Run Conservation Area, OH",41.2082862,-81.5966542,1727,,,false,,,Green Cloverworm Moth (Hypena scabra),Hypena scabra,Green Cloverworm Moth,Insecta,118513
